BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge_rescaled,GFABuildingNormalised,GFAParkingNormalised,GFAPerBuilding,GFAPerFloor,Electricity_ratio,Natural_gas_ratio,SteamUse_ratio
NonResidential,Hotel,DOWNTOWN,1.0,12.0,88434.0,60.0,7226362.5,249.98,80,1.0,0.0,88434.0,7369.5,0.54606,0.17664,0.2773
NonResidential,Hotel,DOWNTOWN,1.0,11.0,103566.0,61.0,8387933.0,295.86,15,0.85455,0.14545,103566.0,9415.091,0.38661,0.61339,0.0
NonResidential,Hotel,DOWNTOWN,1.0,41.0,956110.0,43.0,72587024.0,2089.28,40,0.79425,0.20575,956110.0,23319.756,0.68231,0.02058,0.29711
NonResidential,Hotel,DOWNTOWN,1.0,10.0,61320.0,56.0,6794584.0,286.43,85,1.0,0.0,61320.0,6132.0,0.40752,0.26657,0.32591
NonResidential,Hotel,DOWNTOWN,1.0,18.0,175580.0,75.0,14172606.0,505.01,30,0.64688,0.35312,175580.0,9754.444,0.3788,0.6212,0.0
Nonresidential COS,Other,DOWNTOWN,1.0,2.0,97288.0,,12086616.0,301.81,10,0.61765,0.38235,97288.0,48644.0,0.60988,0.39012,0.0
NonResidential,Hotel,DOWNTOWN,1.0,11.0,83008.0,27.0,5758795.0,176.14,85,1.0,0.0,83008.0,7546.182,0.48816,0.51184,0.0
NonResidential,Other,DOWNTOWN,1.0,8.0,102761.0,,6298131.5,221.51,85,1.0,0.0,102761.0,12845.125,0.57742,0.06116,0.36142
NonResidential,Hotel,DOWNTOWN,1.0,15.0,163984.0,43.0,13723820.0,392.16,105,1.0,0.0,163984.0,10932.267,0.53177,0.46823,0.0
NonResidential,Hotel,DOWNTOWN,1.0,11.0,153163.0,30.0,16016644.0,691.26,40,0.87413,0.12587,153163.0,13923.909,0.38632,0.28669,0.32698
NonResidential,Hotel,DOWNTOWN,1.0,25.0,333176.0,36.0,26941110.0,740.97,10,0.81643,0.18357,333176.0,13327.04,0.67121,0.10611,0.22268
NonResidential,Hotel,DOWNTOWN,1.0,9.0,65009.0,48.0,6596057.5,328.23,80,1.0,0.0,65009.0,7223.222,0.20361,0.54528,0.25111
NonResidential,Hotel,DOWNTOWN,1.0,33.0,315952.0,58.0,22325364.0,648.62,30,0.81769,0.18231,315952.0,9574.303,0.6228,0.18291,0.1943
NonResidential,Hotel,DOWNTOWN,1.0,11.0,92190.0,35.0,10750010.0,511.39,85,0.72665,0.27335,92190.0,8380.909,0.3565,0.1904,0.4531
Nonresidential COS,Other,DOWNTOWN,1.0,11.0,412000.0,,18588860.0,181.38,5,0.86165,0.13835,412000.0,37454.545,0.96032,0.0,0.03968
NonResidential,Other,DOWNTOWN,1.0,6.0,103911.0,,9956396.0,433.86,80,1.0,0.0,103911.0,17318.5,0.44734,0.09142,0.46125
NonResidential,Hotel,DOWNTOWN,1.0,28.0,416281.0,31.0,33556756.0,802.89,25,0.79581,0.20419,416281.0,14867.179,0.63252,0.36748,0.0
NonResidential,Mixed Use Property,DOWNTOWN,1.0,5.0,57452.0,,7606084.5,273.02,100,1.0,0.0,57452.0,11490.4,0.49497,0.27151,0.23352
NonResidential,Hotel,DOWNTOWN,1.0,10.0,104352.0,39.0,10154608.0,349.32,95,1.0,0.0,104352.0,10435.2,0.58184,0.0803,0.33786
NonResidential,Other,DOWNTOWN,1.0,10.0,540360.0,76.0,44984468.0,1265.29,95,1.0,0.0,540360.0,54036.0,0.54147,0.45853,0.0
NonResidential,Other,DOWNTOWN,1.0,19.0,385274.0,,47859812.0,1699.45,25,1.0,0.0,385274.0,20277.579,0.38148,0.61852,0.0
NonResidential,Hotel,NORTHEAST,1.0,6.0,88592.0,84.0,3663534.5,90.01,10,0.65475,0.34525,88592.0,14765.333,0.61859,0.38141,0.0
NonResidential,University,DOWNTOWN,1.0,7.0,126593.0,,11343686.0,388.04,80,1.0,0.0,126593.0,18084.714,0.4097,0.5903,0.0
NonResidential,Other,DOWNTOWN,1.0,2.0,67224.0,,1310236.625,9.13,80,1.0,0.0,67224.0,33612.0,1.0,0.0,0.0
NonResidential,Hotel,EAST,1.0,8.0,158676.0,,5328051.5,256.57,20,0.80904,0.19096,158676.0,19834.5,0.10741,0.89259,0.0
NonResidential,Hotel,DOWNTOWN,1.0,10.0,171866.0,57.0,11061916.0,328.63,10,0.77726,0.22274,171866.0,17186.6,0.50721,0.49279,0.0
